strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Iowa/A01277915/2012	KC355838	H3N2	2012-11-26	Swine	Usa	North America	Swine	swine	Swine
A/canine/Guangdong/05/2011	JX414244	H3N2	2011-02-XX	Canine	China	China	Canine	canine	Canine
A/swine/Guangdong/L5/2010	JX414232	H3N2	2010-02-XX	Swine	China	China	Swine	swine	Swine
A/canine/Guangdong/04/2011	JX414239	H3N2	2011-02-XX	Canine	China	China	Canine	canine	Canine
A/swine/Michigan/A01259000/2012	JX442056	H3N2	2012-06-19	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01203612/2012	JX444786	H3N2	2012-06-30	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/A01203624/2012	JX444787	H3N2	2012-07-12	Swine	Usa	North America	Swine	swine	Swine
A/swine/Spain/SF32071/2007	HE774666	H3N2	2007-XX-XX	Swine	Spain	Europe	Swine	swine	Swine
A/swine/Indiana/A01327236/2010	JX463278	H3N2	2010-11-23	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A01327235/2010	JX463284	H3N2	2010-10-27	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A01327234/2010	JX463287	H3N2	2010-10-27	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A00968380/2012	JX494412	H3N2	2012-07-18	Swine	Usa	North America	Swine	swine	Swine
A/swine/Guangdong/L23/2010	JX494714	H3N2	2010-02-XX	Swine	China	China	Swine	swine	Swine
A/swine/Guangdong/L22/2010	JX494706	H3N2	2010-02-XX	Swine	China	China	Swine	swine	Swine
A/swine/Ohio/OH20-24948/2020	EPI2497426	H3N2	2020-11-20	Swine	Usa	North America	Swine	swine	Swine
A/swine/Manitoba/G5/2014	KX264748	H3N2	2014-03-03	Swine	Canada	North America	Swine	swine	Swine
A/swine/Saskatchewan/G8/2014	KX264751	H3N2	2014-09-24	Swine	Canada	North America	Swine	swine	Swine
A/swine/Manitoba/G7/2014	KX264750	H3N2	2014-01-21	Swine	Canada	North America	Swine	swine	Swine
A/swine/Korea/KSB/2012	JX501998	H3N2	2012-03-XX	Swine	South Korea	Japan Korea	Swine	swine	Swine
A/duck/Anhui/A1861/2014	KP765936	H3N2	2014-04-22	Avian	China	China	Duck	duck	Anseriformes
A/swine/Illinois/A00857304a/2012	JQ738171	H3N2	2012-01-05	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01398028/2013	KF461096	H3N2	2013-07-16	Swine	Usa	North America	Swine	swine	Swine
A/swine/Guangdong/1598/2012	KM027935	H3N2	2012-05-10	Swine	China	China	Swine	swine	Swine
A/swine/Guangdong/1599/2012	KM027943	H3N2	2012-05-10	Swine	China	China	Swine	swine	Swine
A/swine/Guangdong/1601/2012	KM027951	H3N2	2012-05-10	Swine	China	China	Swine	swine	Swine
A/swine/Guangxi/2242/2011	KM028015	H3N2	2011-08-07	Swine	China	China	Swine	swine	Swine
A/swine/Guangxi/2253/2011	KM028023	H3N2	2011-08-07	Swine	China	China	Swine	swine	Swine
A/swine/Guangxi/2518/2011	KM028047	H3N2	2011-08-28	Swine	China	China	Swine	swine	Swine
A/swine/Guangxi/2803/2011	KM028055	H3N2	2011-09-24	Swine	China	China	Swine	swine	Swine
A/swine/Guangxi/NS3086/2011	KM028167	H3N2	2011-10-23	Swine	China	China	Swine	swine	Swine
A/swine/Chachoengsao/2003	AB434344	H3N2	2003-XX-XX	Swine	Thailand	Southeast Asia	Swine	swine	Swine
A/swine/Guangdong/1593/2012	KM027927	H3N2	2012-05-10	Swine	China	China	Swine	swine	Swine
A/swine/Udon_Thani/NIAH464/2004	AB434352	H3N2	2004-XX-XX	Swine	Thailand	Southeast Asia	Swine	swine	Swine
A/swine/Ratchaburi/NIAH59/2004	AB434368	H3N2	2004-XX-XX	Swine	Thailand	Southeast Asia	Swine	swine	Swine
A/swine/Thailand/KU5.1/2004	FJ561060	H3N2	2004-09-19	Swine	Thailand	Southeast Asia	Swine	swine	Swine
A/swine/Guangxi/NS3099/2011	KM028183	H3N2	2011-10-23	Swine	China	China	Swine	swine	Swine
A/swine/Guangxi/NS3106/2011	KM028191	H3N2	2011-10-23	Swine	China	China	Swine	swine	Swine
A/swine/Guangxi/NS3108/2011	KM028199	H3N2	2011-10-23	Swine	China	China	Swine	swine	Swine
A/swine/Guangxi/3130/2011	KM028215	H3N2	2011-10-30	Swine	China	China	Swine	swine	Swine
A/swine/Guangxi/NS3891/2011	KM028431	H3N2	2011-12-30	Swine	China	China	Swine	swine	Swine
A/swine/Guangxi/NS3900/2011	KM028439	H3N2	2011-12-30	Swine	China	China	Swine	swine	Swine
A/swine/Guangdong/1232/2012	KM027919	H3N2	2012-04-12	Swine	China	China	Swine	swine	Swine
A/swine/Guangdong/1210/2012	KM027911	H3N2	2012-04-12	Swine	China	China	Swine	swine	Swine
