strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Korea/CY02-10/2012	KC471420	H3N2	2012-02-20	Swine	South Korea	Japan Korea	Swine	swine	Swine
A/swine/Korea/CY03-12/2012	KC471436	H3N1	2012-03-06	Swine	South Korea	Japan Korea	Swine	swine	Swine
A/swine/Korea/CY03-13/2012	KC471444	H3N1	2012-03-06	Swine	South Korea	Japan Korea	Swine	swine	Swine
A/swine/Korea/CY03-14/2012	KC471452	H3N2	2012-03-06	Swine	South Korea	Japan Korea	Swine	swine	Swine
A/swine/Korea/CY03-15/2012	KC471460	H3N2	2012-03-06	Swine	South Korea	Japan Korea	Swine	swine	Swine
A/swine/Korea/CY03-16/2012	KC471468	H3N2	2012-03-27	Swine	South Korea	Japan Korea	Swine	swine	Swine
A/swine/Korea/CY03-17/2012	KC471476	H3N2	2012-03-27	Swine	South Korea	Japan Korea	Swine	swine	Swine
A/swine/Korea/CY03-18/2012	KC471484	H3N2	2012-03-27	Swine	South Korea	Japan Korea	Swine	swine	Swine
A/swine/Korea/CY03-19/2012	KC471492	H3N2	2012-03-27	Swine	South Korea	Japan Korea	Swine	swine	Swine
A/American_black_duck/Newfoundland/GR256/2011	KC492393	H3N2	2011-08-31	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/MW662/2010	KC492337	H3N6	2010-09-17	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/GR490/2011	KC492417	H3N2	2011-09-14	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/swine/Guangxi/NS2783/2010	JQ220551	H3N2	2010-11-07	Swine	China	China	Swine	swine	Swine
A/swine/Hong_Kong/NS2439/2011	JQ220552	H3N2	2011-06-16	Swine	Hong Kong	China	Swine	swine	Swine
A/swine/Hong_Kong/2503/2011	JQ220553	H3N2	2011-06-16	Swine	Hong Kong	China	Swine	swine	Swine
A/canine/Guangdong/1/2007	GU433370	H3N2	2007-04-18	Canine	China	China	Canine	canine	Canine
A/canine/Guangdong/2/2007	GU433362	H3N2	2007-10-18	Canine	China	China	Canine	canine	Canine
A/canine/Guangdong/2/2006	GU433355	H3N2	2006-08-XX	Canine	China	China	Canine	canine	Canine
A/canine/New_York/115809/2005	CY067281	H3N8	2005-09-30	Canine	Usa	North America	Canine	canine	Canine
A/canine/Florida/89911-2/2006	CY067425	H3N8	2006-07-20	Canine	Usa	North America	Canine	canine	Canine
A/canine/Florida/78592-7/2006	CY067417	H3N8	2006-06-20	Canine	Usa	North America	Canine	canine	Canine
A/canine/Florida/78592-6/2006	CY067409	H3N8	2006-06-20	Canine	Usa	North America	Canine	canine	Canine
A/canine/Florida/78592-2/2006	CY067401	H3N8	2006-06-20	Canine	Usa	North America	Canine	canine	Canine
A/canine/California/70645-4/2006	CY067393	H3N8	2006-06-06	Canine	Usa	North America	Canine	canine	Canine
A/canine/Colorado/30604/2006	CY067385	H3N8	2006-03-20	Canine	Usa	North America	Canine	canine	Canine
A/canine/Colorado/17864/2006	CY067369	H3N8	2006-02-17	Canine	Usa	North America	Canine	canine	Canine
A/canine/New_York/4986-2/2006	CY067353	H3N8	2006-01-16	Canine	Usa	North America	Canine	canine	Canine
A/canine/New_York/5183-6/2006	CY067337	H3N8	2006-01-16	Canine	Usa	North America	Canine	canine	Canine
A/equine/Ohio/113461-3/2005	CY067329	H3N8	2005-XX-XX	Equine	Usa	North America	Equine	equine	Equine
A/equine/Ohio/113461-1/2005	CY067321	H3N8	2005-XX-XX	Equine	Usa	North America	Equine	equine	Equine
A/equine/Ohio/113461-2/2005	CY067313	H3N8	2005-XX-XX	Equine	Usa	North America	Equine	equine	Equine
A/equine/Texas/117793/2005	CY067305	H3N8	2005-10-06	Equine	Usa	North America	Equine	equine	Equine
A/canine/Colorado/8880/2006	CY067361	H3N8	2006-01-25	Canine	Usa	North America	Canine	canine	Canine
A/canine/New_York/100525-1/2006	CY067433	H3N8	2006-08-16	Canine	Usa	North America	Canine	canine	Canine
A/swine/Iowa/H02AS8/2002	GU135901	H3N2	2002-11-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/H03HB4/2003	GU135921	H3N2	2003-02-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/H03HO7/2003	GU135928	H3N2	2003-06-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/H03LDH5/2003	GU135944	H3N2	2003-08-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Shandong/106/2007	GU086108	H3N2	2007-XX-XX	Swine	China	China	Swine	swine	Swine
A/swine/Guangdong/7/2006	GU086092	H3N2	2006-XX-XX	Swine	China	China	Swine	swine	Swine
A/swine/Shandong/133/2007	GU086116	H3N2	2007-XX-XX	Swine	China	China	Swine	swine	Swine
