strain	accession	subtype	date	host	country	region	species	broad	order
A/Duck/Foshan/11/2019	OQ054023	H3N2	2019-01-01	Avian	China	China	Duck	duck	Anseriformes
A/black-headed_gull/Chile/C38075/2018	OP888942	H3N8	2018-02-07	Avian	Chile	South America	Black-headed Gull	gull	Neoave
A/black_skimmer/Chile/C26100/2017	OP888514	H3N8	2017-05-16	Avian	Chile	South America	Black Skimmer	skimmer	Neoave
A/duck/Moscow/5881/2021	OP133621	H3N2	2021-10-06	Avian	Russia	West Asia	Duck	duck	Anseriformes
A/duck/Moscow/5172/2015	OP133387	H3N6	2015-09-07	Avian	Russia	West Asia	Duck	duck	Anseriformes
A/duck/Moscow/5169/2015	OP133010	H3N6	2015-09-16	Avian	Russia	West Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN5474/2019	MW935322	H3N2	2019-04-26	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN5689/2019	MW935338	H3N2	2019-07-29	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/Muscovy_duck/Vietnam/HN5629/2019	MW935304	H3N2	2019-07-05	Avian	Vietnam	Southeast Asia	Muscovy Duck	duck	Anseriformes
A/duck/Vietnam/HN5956/2019	MW935286	H3N8	2019-11-29	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN5688/2019	MW935297	H3N2	2019-07-29	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN5955/2019	MW935272	H3N8	2019-11-29	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN5690/2019	MW935213	H3N2	2019-07-29	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN5685/2019	MW935199	H3N2	2019-07-29	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN5687/2019	MW935159	H3N2	2019-07-29	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN4797/2018	MW936106	H3N1	2018-07-08	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN5001/2018	MW936010	H3N2	2018-10-08	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN4917/2018	MW935915	H3N2	2018-08-29	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/Muscovy_duck/Vietnam/HN5482/2019	MW935647	H3N2	2019-05-07	Avian	Vietnam	Southeast Asia	Muscovy Duck	duck	Anseriformes
A/Muscovy_duck/Vietnam/HN5485/2019	MW935594	H3N2	2019-05-07	Avian	Vietnam	Southeast Asia	Muscovy Duck	duck	Anseriformes
A/duck/Vietnam/HN4931/2018	MW935602	H3N2	2018-09-05	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/Muscovy_duck/Vietnam/HN5481/2019	MW935428	H3N2	2019-05-07	Avian	Vietnam	Southeast Asia	Muscovy Duck	duck	Anseriformes
A/duck/Vietnam/HN5686/2019	MW935364	H3N2	2019-07-29	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN5952/2019	MW935358	H3N8	2019-11-29	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/swine/Rhede/20749/2014	MK363142	H3N2	2014-10-13	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Zweiflingen/20028/2014	MK363134	H3N2	2014-04-23	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Telgte/19994/2014	MK363126	H3N2	2014-04-15	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Herzlake/19959/2014	MK363118	H3N2	2014-04-02	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Telgte/19851/2014	MK363110	H3N2	2014-03-13	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Telgte/19839/2014	MK363102	H3N2	2014-03-11	Swine	Germany	Europe	Swine	swine	Swine
