strain	accession	subtype	date	host	country	region	species	broad	order
A/duck/Korea/LPM92/2006	EU301240	H3N2	2006-XX-XX	Avian	South Korea	Japan Korea	Duck	duck	Anseriformes
A/swine/Iowa/H02AS8/2002	EU422987	H3N2	2002-11-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/H03HO7/2003	EU422988	H3N2	2003-06-XX	Swine	Usa	North America	Swine	swine	Swine
A/duck/Korea/LPM66/2006	EU301235	H3N2	2006-XX-XX	Avian	South Korea	Japan Korea	Duck	duck	Anseriformes
A/chicken/Korea/LPM17/2004	EU301224	H3N2	2004-XX-XX	Avian	South Korea	Japan Korea	Chicken	chicken	Galliformes
A/swine/North_Carolina/A01410709/2014	KJ859582	H3N2	2014-04-XX	Swine	Usa	North America	Swine	swine	Swine
A/duck/Korea/LPM09/2004	EU301223	H3N2	2004-XX-XX	Avian	South Korea	Japan Korea	Duck	duck	Anseriformes
A/swine/Iowa/A02138535/2017	MG763269	H3N2	2017-12-03	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A02138536/2017	MG763239	H3N2	2017-12-03	Swine	Usa	North America	Swine	swine	Swine
A/swine/Canada/MAFRI-17/2012	KJ847662	H3N2	2012-10-10	Swine	Canada	North America	Swine	swine	Swine
A/swine/Canada/MAFRI-24/2012	KJ847664	H3	2012-11-20	Swine	Canada	North America	Swine	swine	Swine
A/swine/Canada/MAFRI-27/2012	KJ847665	H3N2	2012-11-27	Swine	Canada	North America	Swine	swine	Swine
