strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Ohio/09SW84/2009	CY130831	H3N2	2009-08-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/09SW85/2009	CY130839	H3N2	2009-08-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/09SW87/2009	CY130847	H3N2	2009-08-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Manitoba/D0471/2016	CY246662	H3N2	2016-12-01	Swine	Canada	North America	Swine	swine	Swine
A/swine/Alberta/SD0197/2016	CY246654	H3N2	2016-11-23	Swine	Canada	North America	Swine	swine	Swine
A/swine/Saskatchewan/SD0184/2016	CY246566	H3N2	2016-10-19	Swine	Canada	North America	Swine	swine	Swine
A/swine/Alberta/SD0183/2016	CY246558	H3N2	2016-10-19	Swine	Canada	North America	Swine	swine	Swine
A/swine/Saskatchewan/SD0182/2016	CY246550	H3N2	2016-10-19	Swine	Canada	North America	Swine	swine	Swine
A/swine/Alberta/SD0186/2016	CY246542	H3N2	2016-10-19	Swine	Canada	North America	Swine	swine	Swine
A/swine/Saskatchewan/D0458/2016	CY246518	H3N2	2016-09-29	Swine	Canada	North America	Swine	swine	Swine
A/swine/Alberta/SD0181/2016	CY246478	H3N2	2016-08-30	Swine	Canada	North America	Swine	swine	Swine
A/swine/British_Columbia/SD0180/2016	CY246470	H3N2	2016-08-30	Swine	Canada	North America	Swine	swine	Swine
A/swine/Alberta/SD0179/2016	CY246462	H3N2	2016-08-30	Swine	Canada	North America	Swine	swine	Swine
A/swine/Illinois/TM1707DTW18/2017	MW846552	H3N2	2017-07-07	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/TM1705DTW24/2017	MW846602	H3N2	2017-05-12	Swine	Usa	North America	Swine	swine	Swine
A/swine/Alberta/SD0172/2016	CY246406	H3N2	2016-06-28	Swine	Canada	North America	Swine	swine	Swine
A/swine/Manitoba/D0418/2016	CY246245	H3N2	2016-04-21	Swine	Canada	North America	Swine	swine	Swine
A/swine/Manitoba/SD0151/2016	CY246139	H3N2	2016-02-25	Swine	Canada	North America	Swine	swine	Swine
A/swine/Saskatchewan/SD0149/2016	CY246115	H3N2	2016-02-10	Swine	Canada	North America	Swine	swine	Swine
A/swine/Illinois/21TOSU2196/2021	ON935310	H3N2	2021-06-25	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/21TOSU0961/2021	ON935302	H3N2	2021-06-17	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/21TOSU2997/2021	ON935321	H3N2	2021-07-15	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/09SW88/2009	CY130855	H3N2	2009-08-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/09SW89/2009	CY130863	H3N2	2009-08-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/22TOSU1365/2022	OP870216	H3N2	2022-06-16	Swine	Usa	North America	Swine	swine	Swine
A/swine/Alberta/SD0138/2016	CY246099	H3N2	2016-01-27	Swine	Canada	North America	Swine	swine	Swine
A/swine/Alberta/SD0137/2016	CY246091	H3N2	2016-01-27	Swine	Canada	North America	Swine	swine	Swine
A/swine/Alberta/SD0123/2015	CY245987	H3N2	2015-10-21	Swine	Canada	North America	Swine	swine	Swine
A/swine/British_Columbia/SD0122/2015	CY245979	H3N2	2015-10-21	Swine	Canada	North America	Swine	swine	Swine
A/swine/Indiana/21TOSU0959/2021	ON935283	H3N2	2021-06-17	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/21TOSU2139/2021	ON935194	H3N2	2021-06-25	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/21TOSU0954/2021	ON935214	H3N2	2021-06-17	Swine	Usa	North America	Swine	swine	Swine
A/mallard/Wisconsin/162/1977	CY179549	H3N2	1977-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/mallard/Wisconsin/414/1977	CY179557	H3N2	1977-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/swine/Saskatchewan/SD0001/2011	CY159075	H3N2	2011-12-01	Swine	Canada	North America	Swine	swine	Swine
A/swine/Iowa/02204/2008	CY159900	H3N2	2008-06-11	Swine	Usa	North America	Swine	swine	Swine
