strain	accession	subtype	date	host	country	region	species	broad	order
A/Northern_shoveler/North_Dakota/AH0037519S.8.A/2015	MN254217	H3N8	2015-XX-XX	Avian	Usa	North America	Northern Shoveler	duck	Anseriformes
A/Mallard/Minnesota/AH0031714S.8.A/2015	MN254207	H3N8	2015-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Mallard/North_Dakota/AH0050148S.8.A/2015	MN254242	H3N8	2015-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Mallard/Pennsylvania/AH0119459S.8.A/2017	MN254290	H3N8	2017-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Mallard/Pennsylvania/AH0119495S.8.A/2017	MN254300	H3N8	2017-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Mallard/Pennsylvania/AH0119503S.8.A/2017	MN254310	H3N8	2017-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/duck/China/322D22/2018	MN443580	H3N2	2018-03-12	Avian	China	China	Duck	duck	Anseriformes
A/Mallard/Minnesota/AH0031699S.8.B/2015	MN254206	H3N8	2015-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/turkey/Ontario/FAV-10/2011	JN706704	H3N2	2011-07-21	Avian	Canada	North America	Turkey	turkey	Galliformes
A/turkey/Ontario/FAV-3/2011	JN683641	H3N2	2011-07-06	Avian	Canada	North America	Turkey	turkey	Galliformes
A/turkey/Ontario/FAV-9/2011	JN683633	H3N2	2011-02-24	Avian	Canada	North America	Turkey	turkey	Galliformes
A/blue-winged_teal/Guatemala/CIP049-05/2010	CY096660	H3N8	2010-01-31	Avian	Guatemala	North America	Blue-winged Teal	duck	Anseriformes
A/Mallard/Minnesota/AH0031699S.8.A/2015	MN254205	H3N8	2015-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/mallard/Alberta/635/1983	CY004653	H3N5	1983-08-19	Avian	Canada	North America	Mallard	duck	Anseriformes
A/pintail_duck/Alberta/169/1980	CY005047	H3N8	1980-08-05	Avian	Canada	North America	Northern Pintail	duck	Anseriformes
A/chicken/Nanchang/7-010/2000	CY005450	H3N6	2000-07-09	Avian	China	China	Chicken	chicken	Galliformes
A/duck/Nanchang/8-174/2000	CY005466	H3N6	2000-08-13	Avian	China	China	Duck	duck	Anseriformes
A/swine/Shandong/3/2005	EU116044	H3N2	2005-XX-XX	Swine	China	China	Swine	swine	Swine
A/mallard_duck/New_York/157/1986	CY014869	H3N6	1986-10-04	Avian	Usa	North America	Mallard	duck	Anseriformes
A/mallard/New_York/6874/1978	CY014846	H3N2	1978-08-01	Avian	Usa	North America	Mallard	duck	Anseriformes
A/quail/Nanchang/7-026/2000	CY005457	H3N6	2000-07-09	Avian	China	China	Quail	quail	Galliformes
A/duck/Chabarovsk/1610/1972	CY014706	H3N8	1972-XX-XX	Avian	Russia	West Asia	Duck	duck	Anseriformes
A/mallard_duck/Alberta/331/1985	CY014552	H3N6	1985-08-18	Avian	Canada	North America	Mallard	duck	Anseriformes
A/duck/Ukraine/1/1963	CY005816	H3N8	1963-12-12	Avian	Ukraine	Europe	Duck	duck	Anseriformes
A/blue-winged_teal/Alberta/120/1991	CY014574	H3N8	1991-08-10	Avian	Canada	North America	Blue-winged Teal	duck	Anseriformes
A/shearwater/Australia/405/1978	CY005662	H3N8	1977-10-29	Avian	Australia	Oceania	Shearwater	shearwater	Neoave
A/mallard/Alberta/118/1995	CY004696	H3N5	1995-08-01	Avian	Canada	North America	Mallard	duck	Anseriformes
A/equine/Kentucky/5/2002	AY855345	H3N8	2002-XX-XX	Equine	Usa	North America	Equine	equine	Equine
A/swine/Italy/1850/1977	M80962	H3N2	1977-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/swine/Colorado/1/1977	M80960	H3N2	1977-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Mallard/South_Dakota/AH0015035S.8.A/2015	MN254190	H3N8	2015-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/wild_boar/Germany/WS169/2006	AM746620	H3N2	2006-XX-XX	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Guangdong/423/2006	GU086141	H3N2	2006-XX-XX	Swine	China	China	Swine	swine	Swine
A/swine/Guangdong/223/2006	GU086133	H3N2	2006-XX-XX	Swine	China	China	Swine	swine	Swine
A/swine/Guangdong/211/2006	GU086125	H3N2	2006-XX-XX	Swine	China	China	Swine	swine	Swine
A/swine/Fujian/43/2007	GU086101	H3N2	2007-XX-XX	Swine	China	China	Swine	swine	Swine
A/swine/Guangdong/811/2006	GU086149	H3N2	2006-XX-XX	Swine	China	China	Swine	swine	Swine
A/swine/Guangdong/968/2006	GU086157	H3N2	2006-XX-XX	Swine	China	China	Swine	swine	Swine
A/Mallard/South_Dakota/AH0015002S.8.A/2015	MN254187	H3N8	2015-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Mallard/South_Dakota/AH0014999S.8.A/2015	MN254186	H3N8	2015-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Mallard/North_Dakota/AH0004268S.8.A/2015	MN254176	H3N8	2015-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Mallard/North_Dakota/AH0004210S.8.A/2015	MN254172	H3N8	2015-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/American_Green-winged_Teal/North_Dakota/AH0003568S.8.A/2015	MN254169	H3N8	2015-XX-XX	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/Northern_shoveler/North_Dakota/AH0003550S.8.A/2015	MN254167	H3N8	2015-XX-XX	Avian	Usa	North America	Northern Shoveler	duck	Anseriformes
A/pintail/Egypt/MB-D-384C/2015	MN210318	H3N6	2015-10-26	Avian	Egypt	Africa	Northern Pintail	duck	Anseriformes
A/swine/Maule/VN1401-3983/2018	MN054430	H3N2	2018-XX-XX	Swine	Chile	South America	Swine	swine	Swine
A/swine/Maule/VN1401-3981/2018	MN054419	H3N2	2018-XX-XX	Swine	Chile	South America	Swine	swine	Swine
A/swine/Valparaiso/VN1401-3773/2018	MN054339	H3N2	2018-XX-XX	Swine	Chile	South America	Swine	swine	Swine
A/swine/Maule/VN1401-3982/2018	MN055055	H3N2	2018-XX-XX	Swine	Chile	South America	Swine	swine	Swine
A/swine/Tainan/103-11/2003	FJ839908	H3N1	2003-08-01	Swine	Taiwan	China	Swine	swine	Swine
A/swine/Pingtung/199-2/2002	FJ839895	H3N2	2002-11-29	Swine	Taiwan	China	Swine	swine	Swine
A/swine/Guangdong/01/1998	FJ830859	H3N2	1998-XX-XX	Swine	China	China	Swine	swine	Swine
A/duck/Shanghai/C84/2009	JX286595	H3N2	2009-03-01	Avian	China	China	Duck	duck	Anseriformes
A/canine/Guangdong/1/2011	JX195345	H3N2	2011-02-XX	Canine	China	China	Canine	canine	Canine
A/canine/Guangdong/2/2011	JX195353	H3N2	2011-02-XX	Canine	China	China	Canine	canine	Canine
A/canine/Guangdong/3/2011	JX195361	H3N2	2011-03-XX	Canine	China	China	Canine	canine	Canine
A/canine/Korea/01/2007	JX163260	H3N2	2007-05-XX	Canine	South Korea	Japan Korea	Canine	canine	Canine
A/swine/Feldbach/6605/2007	MK362261	H3N2	2007-10-28	Swine	Austria	Europe	Swine	swine	Swine
A/swine/Georgsmarienhuette/6391/2007	MK362245	H3N2	2007-08-27	Swine	Germany	Europe	Swine	swine	Swine
A/equine/Santiago/TT16A/2018	MH347019	H3N8	2018-02-15	Equine	Chile	South America	Equine	equine	Equine
A/swine/Los_Andes/VN1401-3086/2017	MH346797	H3N2	2017-09-29	Swine	Chile	South America	Swine	swine	Swine
A/swine/Mexico/AVX26/2012	KU976523	H3N2	2012-06-22	Swine	Mexico	North America	Swine	swine	Swine
A/swine/Mexico/AVX20/2012	KU976872	H3	2012-06-03	Swine	Mexico	North America	Swine	swine	Swine
A/swine/Mexico/AVX28/2012	KU976591	H3N2	2012-09-06	Swine	Mexico	North America	Swine	swine	Swine
A/swine/Mexico/AVX34/2012	KU976714	H3N2	2012-10-29	Swine	Mexico	North America	Swine	swine	Swine
A/swine/Mexico/AVX38/2012	KU976611	H3N2	2012-11-08	Swine	Mexico	North America	Swine	swine	Swine
A/swine/Mexico/AVX13/2012	KU976511	H3N2	2012-01-05	Swine	Mexico	North America	Swine	swine	Swine
A/swine/Mexico/AVX15/2012	KU976876	H3N2	2012-03-15	Swine	Mexico	North America	Swine	swine	Swine
A/swine/Mexico/AVX53/2013	KU976675	H3N2	2013-05-29	Swine	Mexico	North America	Swine	swine	Swine
